# Formato: NOME_DO_MATERIAL|CATEGORIA
# Linhas com # são ignoradas

ROUTER AX3000 / COMODATO|ROTEADOR
ROUTER AX3000 / VENDA|ROTEADOR
BOBINA DROP FIBRA 1KM|CABO
FIXA CABO BRANCO|FIXAÇÃO
FIXA CABO PRETO|FIXAÇÃO
PAR DE CONECTORES PLUG P4|ENERGIA
2FLEX SWITCH GIGA POE REVERSO / COMODATO|ROTEADOR
CABO UTP 100% COBRE|CABO REDE
CABO UTP BRANCO / COMODATO|CABO REDE
CABO UTP BRANCO / VENDA|CABO REDE
CABO UTP PRETO / COMODATO|CABO REDE
CABO UTP PRETO / VENDA|CABO REDE
CONECTOR RJ-45 CAT6|INSTALAÇÃO
FONTE LINK1 / COMODATO|FONTE
LINK1 ONT/ROUTER / COMODATO|ONT
FONTE POE 48V 0.65A 30W GIGA UBIQUITI / COMODATO|FONTE
CUDY SWITCH 8P GIGA / COMODATO|ROTEADOR
FONTE POE 48V 0,5A / COMODATO|FONTE
ROTEADOR VSOL AX3000 HG5033 3LAN / COMODATO|ROTEADOR
ONU CDAT AX XGS 4P / COMODATO|ONT
ROTEADOR RB5009UP R+S+IN / COMODATO|ROTEADOR
MESH ROUTER AX / COMODATO|ROTEADOR
UBNT 50V / COMODATO|FONTE
TENDA SWITCH 8P GIGABIT / COMODATO|ROTEADOR
CAMERA UBIQUITI UNIFI BULLET|CFTV
CAMERA CRAFTSMAN BULLET 2.8mm 5MP|CFTV
CAMERA CRAFTSMAN DOME 2.8mm 5MP|CFTV
CAMERA HDCAM BULLET 2.8mm 3MP|CFTV
CAMERA UBNT G3|CFTV
TP LINK TL-WR840N / COMODATO|ROTEADOR
TP LINK ARCHER C5 AC1200 / COMODATO|ROTEADOR
INTELBRAS HOTSPOT 300 / COMODATO|ROTEADOR
TP LINK TL-WR829N / COMODATO|ROTEADOR
TP LINK TL-WR340G / COMODATO|ROTEADOR
TP LINK TL-WR720N / COMODATO|ROTEADOR
INTELBRAS RF 301K / COMODATO|ROTEADOR
DLINK DIR 608 / COMODATO|ROTEADOR
INTELBRAS WRN 150 / COMODATO|ROTEADOR
INTELBRAS IWR1000N / COMODATO|ROTEADOR
GPON EPON ONU / COMODATO|ROTEADOR
GPON ONU GUZ01 / COMODATO|ROTEADOR
ZTE AC1200 MESH ZTE H198A - RE914 / COMODATO|ROTEADOR
ONU MULTILASER RE880 / COMODATO |ESTOQUE
ONU CIANET / COMODATO|ONU
MULTILASER RE172 / COMODATO|ONU
ROTEADOR DLINK AC1200 DIR-815 / COMODATO|ROTEADOR
ZTE PRO AC1200 GIGABIT IPV6 - RE708 / COMODATO|ROTEADOR
WIRELESS 150MBPS / COMODATO|ROTEADOR
TP LINK TL-WR740N / COMODATO|ROTEADOR
ZTE GPON ONU / COMODATO|ONU
GPON ONT 1GE / COMODATO|ONT
GPON EPON SC/UPC / COMODATO|ONU
GPON EPON SC/APC / COMODATO|ROTEADOR
ONU ALCATEL LUCENT / COMODATO|ONU
INTELBRAS GF1200 / COMODATO|ROTEADOR
ZTE AC1200 MESH ZTE H199A - RE942 / COMODATO|ROTEADOR
TP LINK TL-WR849N / COMODATO|ROTEADOR
TP LINK TL-WR820N / COMODATO|ROTEADOR
ZTE MULTILASER RE914 / COMODATO|ROTEADOR
MERCUSYS AC12G / COMODATO|ROTEADOR
GPON ONU G1 / COMODATO|ONU
UHOME UH1100 1GE / COMODATO|ONU
HUAWEI EG 4PT / COMODATO|ONT
HUAWEI HS V5 4PT / COMODATO|ONT
HUAWEI HS 5V 4PT / COMODATO|ONT
FONTE DE ALIMENTAÇÃO DC COM ENTRADA -48-60VDC / COMODATO|FONTE
FONTE 24V 2.5A PARA RB / COMODATO|FONTE
FONTE DLINK 12V 0.5A / COMODATO|FONTE
ONU CDAT AX 4P / COMODATO|ONT
FONTE DLINK 12V 1A / COMODATO|FONTE
ONU FIBER HOME / COMODATO|ONU
MESH ROUTER / COMODATO|ROTEADOR
ONU V-SOLUTION GPON 2P / COMODATO|ONT
ONU V-SOLUTION GPON 4P / COMODATO|ONT
ONU V-SOLUTION MONU 4P / COMODATO|ONT
SWITCH MERCUSYS 8-PORTAS 10/100/1000Mbps / COMODATO|ROTEADOR
UNIFI AC-M / COMODATO|ROTEADOR
UNIFI U6-LR / COMODATO|ROTEADOR
UNIFI UAP-FLEXHD / COMODATO|ROTEADOR
RB hAP LITE / COMODATO|ROTEADOR
RB 951G / COMODATO|ROTEADOR
RB HEX POE 960PGS / COMODATO|ROTEADOR
SWITCH TPLINK 5P GIGABIT / COMODATO|ROTEADOR
ONU XPON / COMODATO|ONU
ROTEADOR DLINK AC1200 DIR-842 / COMODATO|ROTEADOR
FONTE 12V 2.5A / COMODATO|FONTE
FITA ISOLANTE 20m|MATERIAL DE INSTALAÇÃO
ABRAÇADEIRA NYLON 22mm|MATERIAL DE INSTALAÇÃO
ONU EPON / COMODATO|ONU
INTELBRAS ACTION R1200 / COMODATO|ROTEADOR
ROTEADOR WIFI TENDA AC5 AC1200 / COMODATO|ROTEADOR
TP-LINK VARIADO / COMODATO|ROTEADOR
INTELBRAS IWR3000N / COMODATO|ROTEADOR
D-LINK AC 1200 DIR-815 / COMODATO|ROTEADOR
CONECTOR UPC|FIBRA
CONECTOR RJ-45|MATERIAL DE INSTALAÇÃO
CONECTOR APC|FIBRA
ALCOOL SWAB|MATERIAL DE INSTALAÇÃO
ACOPLADOR ÓPTICO SC/APC|ESTRUTURA ÓPTICA
FONTE 5V 1A / COMODATO|FONTE
FONTE 12V 1A / COMODATO|FONTE
FONTE 12V 0,5A / COMODATO|FONTE
FONTE 12V 1,5A / COMODATO|FONTE
FONTE 12V 2A / COMODATO|FONTE
UBNT 48V-GIGA / COMODATO|FONTE
UBNT 24V-GIGA / COMODATO|FONTE
UBNT 48V / COMODATO|FONTE
UBNT 24V / COMODATO|FONTE
DLINK DIR-615 / COMODATO|ROTEADOR
ROTEADOR DLINK AC750 DIR-819 / COMODATO|ROTEADOR
DLINK DIR-611 / COMODATO|ROTEADOR
DLINK DIR-610 / COMODATO|ROTEADOR
